time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),precipitation_sum (inch),rain_sum (inch),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h)
5/2/2015,92.5,64.1,89.3,61,0,0,5.1,16.8
5/3/2015,89.7,62.8,86.1,58.9,0,0,5.3,16.8
5/4/2015,84.4,58.3,82.9,54.9,0,0,7.8,18.3
5/5/2015,84.1,57.6,81.1,54,0,0,8.5,20.6
5/6/2015,79.6,54.6,76.6,51.4,0,0,8.2,22.1
5/7/2015,68.9,55.2,66.9,51.3,0.087,0.087,8.4,22.4
5/8/2015,69.8,51.1,65.8,48,0.012,0.012,6.4,16.8
5/9/2015,79.4,55.2,78.8,51.8,0,0,8.4,18.8
5/10/2015,86.7,55.7,85.8,53.9,0,0,6.7,15.7
5/11/2015,86.5,58.9,84.3,53.9,0,0,13.6,28.4
5/12/2015,77.2,53.4,72.5,48.7,0,0,10.8,22.8
5/13/2015,75.8,52.6,72.7,47.4,0,0,9.4,21.5
5/14/2015,73.9,55.4,73.9,50.9,0.213,0.213,10.7,29.1
5/15/2015,70.5,53.7,65.3,52,0,0,9.3,20.6
5/16/2015,78,51.9,76.9,48.8,0,0,7,14.3
5/17/2015,75.8,55.6,74.9,52.6,0,0,9.7,21.7
5/18/2015,77.7,55.5,75.7,51.6,0,0,9.8,22.1
5/19/2015,79,52.9,76.5,49,0,0,9.5,20.4
5/20/2015,81.7,56.7,80.5,53.3,0.004,0.004,10.4,19.5
5/21/2015,73.1,55.6,71.3,51.9,0.059,0.059,8.6,18.6
5/22/2015,73.1,55.5,69.5,53.9,0.15,0.15,8.1,19.2
5/23/2015,78.2,55.6,75.8,53.4,0,0,8.5,21.7
5/24/2015,83.8,55.6,84.4,53.8,0,0,8.5,17.4
5/25/2015,87.4,59.4,88.1,57.1,0,0,7.6,18.1
5/26/2015,87.7,60.1,87.5,57.6,0,0,8.3,18.3
5/27/2015,90,60.3,87.3,57.9,0,0,8.9,21.5
5/28/2015,91.3,60.1,88.2,57.6,0,0,8.4,20.8
5/29/2015,95.7,61.7,92.7,59.7,0,0,8.4,19.9
5/30/2015,98.6,64,96.7,61.8,0,0,6.3,14.8
5/31/2015,99.1,66.1,97.6,64.4,0,0,10.7,25.5
6/1/2015,87.9,61.1,85.6,57.1,0,0,11.8,25.1
6/2/2015,87.8,61.4,84.8,59.4,0,0,11,24.4
6/3/2015,88.9,62.9,85.6,60,0,0,11.4,26.4
6/4/2015,85.5,57.1,83.6,54.8,0,0,8.8,18.3
6/5/2015,88.9,65.5,90.2,63.6,0.02,0.02,7.6,21
6/6/2015,90.9,67.5,92.1,66.9,0,0,7.7,21
6/7/2015,98.2,67.3,99.5,67.4,0,0,5.2,13.9
6/8/2015,106.1,71.2,104.9,71,0,0,6,17.7
6/9/2015,96.6,77.1,95.6,75.4,0,0,7.5,24.2
