OutDatetime,InDatetime,Name,Voltage,DurationMin,OutageType,Cause,ResponsibleSystem,intprt,District,ID
01/13/2024 13:40,01/13/2024 13:40,Underwood: Skamania Co PUD 115kV Feeder 1,115.0,0,Auto,Weather,BPA,Unknown,LGV,225452
01/13/2024 13:53,01/13/2024 19:51,Bald Mountain: Klickitat Co PUD 69kV Feeder 1,69.0,358,Auto,Weather,BPA,Unknown,TDA,225455
01/13/2024 13:53,01/13/2024 20:07,Bald Mountain: PacifiCorp (PACW) 69kV Feeder 1,69.0,374,Auto,Unknown,BPA,Unknown,TDA,225456
01/13/2024 13:53,01/13/2024 15:26,Carson: Skamania Co PUD 115kV Feeder 1,115.0,93,Auto,Weather,BPA,Unknown,LGV,225457
01/13/2024 13:53,01/13/2024 15:26,North Bonneville: Skamania Co PUD 115kV Feeder 1,115.0,93,Auto,Weather,BPA,Unknown,LGV,225458
01/13/2024 13:53,01/13/2024 15:26,Stevenson: Skamania Co PUD 115kV Feeder 1,115.0,93,Auto,Weather,BPA,Unknown,LGV,225459
01/13/2024 13:53,01/13/2024 19:45,Underwood: Skamania Co PUD 115kV Feeder 1,115.0,352,Auto,Weather,BPA,Unknown,LGV,225460
01/13/2024 14:55,01/13/2024 14:55,Skookum: Mason Co PUD  3 115kV Feeder 1,115.0,0,Auto,Unknown,BPA,Unknown,OLY,225463
01/13/2024 15:04,01/13/2024 15:04,Evans: Clark Public Util 115kV Feeder 1,115.0,0,Auto,Weather,BPA,Unknown,LGV,225464
01/13/2024 15:04,01/13/2024 15:04,Cape Horn: Skamania Co PUD 115kV Feeder 1,115.0,0,Auto,Weather,BPA,Unknown,LGV,225465
01/13/2024 15:07,01/13/2024 22:47,Creswell: Emerald PUD 115kV Feeder 1 by PacifiCorp (PACW),115.0,460,Auto,Unknown,Customer,Unknown,EUG,225468
01/13/2024 15:11,01/13/2024 23:09,Evans: Clark Public Util 115kV Feeder 1,115.0,478,Auto,Weather,BPA,Unknown,LGV,225469
01/13/2024 15:11,01/14/2024 15:47,Cape Horn: Skamania Co PUD 115kV Feeder 1,115.0,1476,Auto,Weather,BPA,Unknown,LGV,225470
01/13/2024 16:42,01/13/2024 17:03,Fort Rock: Midstate E Coop 115kV Feeder 1,115.0,21,Auto,Weather,BPA,Unknown,RED,225474
01/13/2024 18:59,01/13/2024 21:17,Drain: Douglas Elec Coop 12.5kV Feeder 1,12.5,138,Auto,Ice,BPA,Unknown,EUG,225476
01/13/2024 18:59,01/13/2024 21:17,Green Valley: Douglas Elec Coop 69kV Feeder 1,69.0,138,Auto,Ice,BPA,Unknown,EUG,225477
01/13/2024 18:59,01/13/2024 21:17,Drain: Drain OR 12.5kV Feeder 1,12.5,138,Auto,Ice,BPA,Unknown,EUG,225478
01/13/2024 18:59,01/14/2024 00:12,Latham: Emerald PUD 115kV Feeder 1,115.0,313,Auto,Ice,BPA,Unknown,EUG,225479
01/13/2024 21:01,01/14/2024 01:19,Rainbow Valley: Lane Elec Coop 115kV Feeder 1,115.0,258,Auto,Weather,BPA,Unknown,EUG,225486
01/13/2024 21:01,01/14/2024 01:19,Fern Ridge: Lane Elec Coop 115kV Feeder 1,115.0,258,Auto,Weather,BPA,Unknown,EUG,225488
